mes,ano,valor_exterior_pf,valor_exterior_pj,valor_exterior_subtotal,valor_sem_ex_pf,valor_sem_ex_pj,valor_sem_ex_subtotal,valor_exchanges,valor_total
9,2023,33.44487199000009,2327.4813781000094,2360.9262500900095,83.00718305,3839.4870314685663,3922.4942145185664,14226.629360665223,20510.05
10,2023,130.51634932000007,2557.2141825000053,2687.7305318200056,101.07375751000002,5163.107237376379,5264.180994886379,18359.814581399194,26311.73
11,2023,119.22430578000053,3280.9724288800003,3400.196734660001,82.23087537999986,7130.636574473605,7212.867449853605,17077.21815469254,27690.28
12,2023,104.68879280000003,3420.3960701200017,3525.084862920002,113.45096684999977,6368.352985520001,6481.803952370001,20892.72858281472,30899.62
1,2024,108.42403063000015,3425.968419769994,3534.3924503999942,272.29330839999983,7028.67031257777,7300.96362097777,22358.733348683487,33194.09
2,2024,135.8728851600001,3421.7112381399993,3557.584123299999,543.4688004699993,5086.197751072183,5629.666551542182,19425.509764153176,28612.76
3,2024,196.90138582000063,6930.79437454986,7127.69576036986,553.5117007299992,6042.308823977058,6595.820524707057,22468.153181148333,36191.67
4,2024,269.24358174,5931.442985709981,6200.686567449981,616.2218607599997,5640.923956196657,6257.145816956657,21255.894955863252,33713.73
5,2024,197.2165273499998,3698.5077034599467,3895.7242308099467,97.99152348999984,5760.0051769414185,5857.9967004314185,19756.52993058253,29510.25
6,2024,155.58228989999992,3712.5317427299983,3868.1140326299983,97.99174813999994,4830.079985306789,4928.071733446789,19400.439791657864,28196.63
7,2024,150.61892431999993,5893.350426039995,6043.969350359995,224.80276178,4558.379104619402,4783.181866399402,20077.27737633287,30904.43
8,2024,161.15605051999998,4899.752880910083,5060.908931430083,157.78895593000004,5488.301043497574,5646.089999427574,24017.931445354025,34724.93
9,2024,151.4902839900001,3462.5012053900477,3613.991489380048,219.6634392899999,5890.516068672272,6110.179507962272,25333.043076528847,35057.21
10,2024,197.13929276000007,3827.6810045999478,4024.8202973599477,119.3968854700001,5108.139753960011,5227.536639430011,23544.732927671834,32797.09
11,2024,381.1486979399996,3655.702506380032,4036.8512043200317,314.57920161999994,5335.647854220013,5650.227055840013,32102.164508593203,41789.24
12,2024,542.9702150899993,5531.37715606998,6074.347371159979,247.91330609000033,6754.180974340008,7002.094280430008,38834.39769574897,51910.84
1,2025,532.3711634100019,4428.1022144499975,4960.473377859999,416.9838595400003,6507.303338980021,6924.287198520022,35519.934026544805,47404.69
2,2025,317.1311343599999,4970.354682790004,5287.485817150004,510.2171429200005,6238.033229930016,6748.250372850017,23922.47291268931,35958.21
3,2025,257.8205207300001,5570.829664759994,5828.650185489993,238.34125389999986,6635.077294739986,6873.4185486399865,25120.385291506984,37822.45
4,2025,385.68041764000014,4840.924148210502,5226.604565850502,294.45371332,6621.320714920037,6915.774428240037,24842.961974617843,36985.34
5,2025,383.84090276,5263.439919372093,5647.280822132093,422.0667668599999,6258.734326870368,6680.801093730368,23779.913435126808,36108.0
6,2025,380.4415757299997,5150.145939131561,5530.5875148615605,342.95235255000017,9211.352060810426,9554.304413360427,23981.6463051217,39066.54
7,2025,648.5233783000006,5478.841588689983,6127.364966989983,1011.6387487799999,7942.037343000111,8953.676091780111,29961.03950118829,45042.08
8,2025,501.41419327000176,5286.848258889985,5788.262452159986,448.96216166999943,8474.900691509934,8923.862853179933,26993.243839462888,41705.37
9,2025,469.635355599996,6815.745931950251,7285.381287550247,540.4089122799999,9442.200113700063,9982.609025980062,21081.416992204384,38349.41
10,2025,462.3339286200002,8820.766284329884,9283.100212949885,384.0915635499988,11674.83497427047,12058.92653782047,30653.60674662546,51995.63
11,2025,435.5987168499979,9585.116877049853,10020.715593899851,284.35616008000005,9161.337070280046,9445.693230360046,36260.11073038499,55726.52
12,2025,351.591835309999,6759.899185030156,7111.491020340155,155.47798882000012,9994.537354470705,10150.015343290706,26640.25903568395,43901.77
1,2026,114.44819742000001,5679.833367100041,5794.281564520041,90.02182721000004,9028.86757590119,9118.889403111189,26001.85608257215,40915.03
2,2026,123.6049492599998,6812.861714909932,6936.466664169931,115.11577491000004,9306.165300162167,9421.281075072167,25431.9526254424,41789.7
3,2026,151.49075829000097,6499.561430890068,6651.052189180069,4.178985039999987,7533.631675161593,7537.810660201593,27028.11075016195,41216.97
4,2026,80.52476707000224,5751.848643680014,5832.373410750016,4.463725440000001,9668.589714971175,9673.053440411175,28018.1934133716,43523.62
5,2026,108.60740201000016,7068.992501890013,7177.5999039000135,4.819549299999994,15660.997891819188,15665.817441119189,35224.71284774782,58068.13
6,2026,136.97744589999985,7194.843418180047,7331.820864080047,7.016750919999992,14279.729474252079,14286.746225172079,35923.42228339409,57541.99
